Food Type,Food,Quantity,Units,Highest Price (Pretax),Lowest P (Pretax),Price Per Gram / Litre,Price per hectograms ,Date,FDCID,Description?
Whole Grain,Whole Wheat Bread,27,oz,18.99,4.78,0.006244803,0,2/27/22,1100740,
Whole Grain,Rice,16,oz,7.18,0.78,0.001719607,0.000017196,2/27/22,2077766,
Vegetable,Sweet potatoes,1.5,Ibs,2.94,2.94,0.004323529,0.000043235,2/27/22,1103249,"sweet potato, boiled, made with oil"
Vegetable,Spinach,16,oz,4.98,1.92,0.004238411,0.000042384,2/27/22,1103136,raw
Vegetable,Broccoli,12,oz,2.78,1,0.002939499,0.000029395,2/27/22,1103177,cooked with oil
Fruit,Tomato ,16,oz,2.98,1.5,0.003311258,0.000033113,2/27/22,1103278,"tomatoes, fresh, cooked"
Fruit,Avocado,6,oz,2.48,0.88,0.005176471,0.000051765,2/27/22,1102652,"1 avocado, raw"
Fruit,Oranges,3,lbs,4.93,3.89,0.002860294,0.000028603,2/27/22,1102597,raw
Milk/Dairy ,Greek yogurt,5.3,oz,1.24,0.64,0.004259501,0.000042595,2/27/22,170903,"yogurt, greek, plain, lowfat"
Milk/Dairy ,Feta,5,oz,3.98,2.54,0.017919187,0.000179192,2/27/22,173420,
Milk/Dairy ,Milk,68.766,oz,5.47,2.22,0.001173064,0.000011731,2/27/22,1904187,
Seafood,Canned tuna,5,Ibs,2.28,0.72,0.005142857,0.000051429,2/27/22,334194,
Eggs,Eggs,20.5,oz,8.11,0.21,0.003818182,0.000038182,2/27/22,747997,1 egg
Fat/oils/nuts,Chickpeas,15,oz,2.3,0.94,0.002210503,0.000022105,2/27/22,1100433,canned
Fat/oils/nuts,Olive oil,24.419,oz,15.94,4.13,0.005477199,0.000054772,2/27/22,1582039,
